throughput, loss, CPU host, CPU remote, streams, country, connection, client, IP, time, streams, verbose, json,,,
62.48,37.099788,8.4986,9.8026,70,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t20,'-P70,'-V,'-J,'-O-O,,
93.71,1.763256,14.4419,16.3767,80,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t20,'-P80,'-V,'-J,'-O-O,,
96.57,8.40588,15.226,18.596,90,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t20,'-P90,'-V,'-J,'-O-O,,
95.89,13.724728,15.5388,17.808,100,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t20,'-P100,'-V,'-J,'-O-O,,
95.05,11.24296,14.4933,18.2527,110,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t20,'-P110,'-V,'-J,'-O-O,,
1.64,0.10356,4148879.025,3.0799,0.0316,1,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t20,'-P1,'-V,'-J,'-O-O,
10.17,4.808752,27838783.17,4.867,1.6004,40,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t20,'-P40,'-V,'-J,'-O-O,
9.06,6.193072,25746131.24,4.65,1.584,50,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t20,'-P50,'-V,'-J,'-O-O,
10.51,7.337248,29937631.25,5.1114,1.7717,60,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t20,'-P60,'-V,'-J,'-O-O,
2.17,0.157848,0.0565,5.5881,0.0301,1,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P1,'-V,'-J,'-O-O,
9.04,5.041844,0.3647,4.1568,1.0496,40,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P40,'-V,'-J,'-O-O,
9.43,6.279928,0.4207,4.217,1.0189,50,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P50,'-V,'-J,'-O-O,
2.51,0.162648,0.0506,6.3091,0.1508,1,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P1,'-V,'-J,'-O-O,
2.42,0.162648,0.0523,5.6431,0.2495,1,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P1,'-V,'-J,'-O-O,
2.08,0.164592,0.0614,5.6766,0.1661,1,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P1,'-V,'-J,'-O-O,
0.96,0.097688,0.0779,5.4202,0.0826,1,Indonesia,Wireless,'-c,'iperf.biznetnetworks.com,'-t10,'-P1,'-V,'-J,'-O-O,
